,MAE,MSE,RMSE,MAPE,R²
RNN,0.024403659683490633,0.0009762237891355435,0.03124458015617338,2.603229979092651,0.9320545328258901
LSTM,0.03275335707217787,0.0016159145991758816,0.04019844025799859,3.5130230573333927,0.8875318614682668
CNN,0.04992407683464506,0.004154862521645897,0.06445822307235825,5.185145349008647,0.7108203280649267
GRU,0.024396616408691903,0.0009438470242802789,0.03072209342281673,2.6133521144616054,0.9343079653258554
Attention_LSTM,0.04260796972615472,0.0025497286571359917,0.050494837925633466,4.585151561333788,0.8225381242453343
