,MAE,MSE,RMSE,MAPE,R²
RNN,0.09091049812717711,0.011421242816862617,0.10687021482556595,5.082733935386585,0.7888181938823371
LSTM,0.1430434197348255,0.025734430511206448,0.1604195452904865,8.110140285480751,0.5241635606641495
CNN,0.06841544186508619,0.0069405689622522885,0.0833100771950926,4.042629785585139,0.8716670407559672
GRU,0.06338128010992965,0.005679093687840343,0.07535976172892496,3.6169928778757283,0.8949920528492019
Attention_LSTM,0.21014385899313245,0.05553043588267339,0.2356489674975755,11.808162188282576,-0.026772474085742237
