,MAE,MSE,RMSE,MAPE,R²
RNN,0.06803421280079112,0.007439034485911412,0.08624983759933355,4.978408026219267,0.7628015009709835
LSTM,0.04648229502462123,0.0041919519259536395,0.06474528497082734,3.5405863024254463,0.8663368604190338
CNN,0.04730541327326356,0.00409528274222455,0.06399439617829478,3.6171687909332078,0.869419220814906
GRU,0.047798819480143744,0.0038885365412402884,0.062358131316134616,3.579647140696538,0.8760114591821689
Attention_LSTM,0.05456323762958901,0.005449080350546997,0.0738178863863427,4.116086984488072,0.8262524951744596
