,MAE,MSE,RMSE,MAPE,R²
RNN,0.04852309576275607,0.0035753896841937867,0.05979456232964488,3.808775038201955,0.46088334430928923
LSTM,0.05124033986180336,0.004227307675634268,0.06501774892776793,3.9858304453555418,0.3625836124272671
CNN,0.043081692840128506,0.002814338430711589,0.053050338648415706,3.4443150697768226,0.5756387815698472
GRU,0.03409434379094241,0.001971669270484033,0.04440348263913578,2.6719248413437002,0.7027010096463984
Attention_LSTM,0.041801947624011744,0.0028772457544995315,0.0536399641545325,3.285728831154385,0.5661532739707906
