,Avg_MAE,Avg_R²
GRU,0.041519171909724296,0.8609458503386709
CNN,0.05142218753332747,0.7701510066927261
RNN,0.06414679579542068,0.6911469852163149
LSTM,0.06553110098858268,0.6834495993402536
Attention_LSTM,0.07749548496802122,0.6170228652647408
